page_type,column,layout
20,7,"[[0, 0, 4, 10], [4, 0, 3, 10, 2], '5단통']"
21,7,"[[0, 0, 5, 10], [5, 0, 2, 10, 2], '5단통']"
100,7,"[[0, 0, 7, 6], [4, 6, 3, 9], '9단21']"
21,7,"[[0, 0, 5, 15, 4], [5, 0, 2, 15, 4]]"
20,7,"[[0, 0, 5, 11, 2], [5, 0, 2, 15, 3], [0, 11, 3, 4], [3, 11, 2, 4]]"
100,7,"[[0, 0, 7, 2], [0, 2, 4, 8, 2], [4, 2, 3, 13, 3], [0, 7, 2, 5], [2, 7, 2, 5]]"
100,6,"[[0, 0, 5, 5], [5, 0, 1, 5], [0, 5, 3, 5], [3, 5, 3, 5, 2], '5단통']"
20,7,"[[0, 0, 4, 10], [4, 0, 3, 10, 3], '5단통']"
21,7,"[[0, 0, 4, 10, 2], [4, 0, 3, 15, 4], [0, 10, 2, 5], [2, 10, 2, 5]]"
21,7,"[[0, 0, 5, 15, 2], [5, 0, 2, 15, 3]]"
20,7,"[[0, 0, 6, 6], [6, 0, 1, 6], [4, 6, 3, 9, 3], '9단21']"
1,7,"[[0, 1, 4, 9, 2], [4, 1, 3, 5], [4, 6, 1, 4], [5, 6, 2, 4], '5단통']"
21,7,"[[0, 0, 5, 5], [5, 0, 2, 10, 2], [0, 5, 3, 5], [3, 5, 2, 5], '5단통']"
20,7,"[[0, 0, 7, 8], [0, 8, 4, 7], [4, 8, 3, 7, 2]]"
101,7,"[[0, 0, 4, 11, 2], [4, 0, 3, 15, 4], [0, 11, 2, 4, 2], [2, 11, 2, 4]]"
20,6,"[[0, 0, 6, 10], [0, 10, 2, 5], [2, 10, 2, 5], [4, 10, 2, 5, 2]]"
3,7,"[[0, 0, 7, 6], [0, 6, 3, 9, 2], '9단21']"
20,7,"[[0, 0, 5, 10, 2], [5, 0, 2, 10], '5단통']"
8,7,"[[0, 0, 7, 2], [0, 2, 4, 9, 2], [4, 2, 3, 13, 3], [0, 11, 2, 4], [2, 11, 2, 4]]"
20,6,"[[0, 0, 6, 8], [0, 8, 5, 7, 2], [5, 8, 1, 7]]"
101,6,"[[0, 0, 4, 15, 3], [4, 0, 2, 15, 4]]"
21,7,"[[0, 0, 5, 15, 3], [5, 0, 2, 15, 4]]"
21,7,"[[0, 0, 5, 15, 3], [5, 0, 2, 15, 5]]"
20,7,"[[0, 0, 7, 10, 2], '5단통']"
101,7,"[[0, 0, 5, 7], [5, 0, 2, 12, 3], [0, 7, 2, 5], [2, 7, 3, 5], '3단통']"
1,6,"[[0, 1, 4, 4], [4, 1, 2, 9, 2], [0, 5, 2, 5], [2, 5, 2, 5], '5단통']"
21,7,"[[0, 0, 5, 10, 2], [5, 0, 2, 15, 2], [0, 10, 4, 5], [4, 10, 1, 5]]"
100,7,"[[0, 0, 4, 11, 3], [4, 0, 3, 11, 3], '4단통']"
1,7,"[[0, 1, 4, 14, 3], [4, 1, 3, 7], '7단15']"
20,7,"[[0, 0, 5, 7], [5, 0, 2, 10, 2], [0, 7, 4, 3], [4, 7, 1, 3], '5단통']"
20,7,"[[0, 0, 5, 7], [5, 0, 2, 10], [0, 7, 4, 3], [4, 7, 1, 3], '5단통']"
1,7,"[[0, 1, 4, 14, 2], [4, 1, 3, 7, 2], '7단15']"
1,7,"[[0, 1, 4, 14, 3], [4, 1, 3, 7, 2], '7단15']"
21,7,"[[0, 0, 5, 15, 3], [5, 0, 2, 15, 3]]"
20,7,"[[0, 0, 5, 7], [5, 0, 2, 10], [0, 7, 3, 3], [3, 7, 2, 3], '5단통']"
1,6,"[[0, 1, 3, 9, 3], [3, 1, 3, 9, 2], '5단통']"
20,6,"[[0, 0, 4, 15, 3], [4, 0, 2, 15, 4]]"
101,7,"[[0, 0, 7, 7], [0, 7, 5, 5], [5, 7, 2, 5], '3단통']"
1,7,"[[0, 1, 4, 6], [4, 1, 3, 10, 3], [0, 7, 2, 4], [2, 7, 2, 4], '4단통']"
100,6,"[[0, 0, 3, 10, 2], [3, 0, 3, 10, 2], '5단통']"
1,7,"[[0, 1, 4, 14, 3], [4, 1, 3, 7], '7단15']"
1,7,"[[0, 1, 3, 5], [3, 1, 2, 5], [5, 1, 2, 10, 2], [0, 6, 5, 5], '4단통']"
1,7,"[[0, 1, 4, 14, 2], [4, 1, 3, 7], '7단15']"
1,7,"[[0, 1, 7, 8], [0, 9, 4, 2], [4, 9, 3, 2], '4단통']"
10,7,"[[0, 0, 7, 2], [0, 2, 5, 9, 2], [5, 2, 2, 13, 3], [0, 11, 3, 4], [3, 11, 2, 4]]"
1,7,"[[0, 1, 4, 6], [4, 1, 3, 9, 2], [0, 7, 2, 3], [2, 7, 2, 3], '5단통']"
10,7,"[[0, 0, 7, 2], [0, 2, 5, 13, 2], [5, 2, 2, 13, 2]]"
10,7,"[[0, 0, 7, 2], [0, 2, 5, 13, 3], [5, 2, 2, 13, 2]]"
10,7,"[[0, 0, 7, 2], [0, 2, 5, 9, 2], [5, 2, 2, 9, 2], [0, 11, 3, 4], [3, 11, 3, 4], [6, 11, 1, 4]]"
